"","X","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"89",89,4,333709.191138533,6285942.78059977,229.090909090909,333701.318747133,6285935.95913379,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5190929202596","-33 33.1970966173382","115.12.311E","33.33.118S"
"90",90,4,333709.191138533,6285942.78059977,229.090909090909,333693.446355734,6285929.13766782,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5139308829598","-33 33.2007127996503","115.12.308E","33.33.120S"
"91",91,4,333709.191138533,6285942.78059977,229.090909090909,333685.573964334,6285922.31620184,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5087688386401","-33 33.2043289781099","115.12.305E","33.33.123S"
"92",92,4,333709.191138533,6285942.78059977,229.090909090909,333677.701572935,6285915.49473586,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.5036067871202","-33 33.2079451527061","115.12.302E","33.33.125S"
"93",93,4,333709.191138533,6285942.78059977,229.090909090909,333669.829181535,6285908.67326988,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4984447285203","-33 33.211561323438","115.12.299E","33.33.127S"
"94",94,4,333709.191138533,6285942.78059977,229.090909090909,333661.956790136,6285901.8518039,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4932826627803","-33 33.2151774903177","115.12.296E","33.33.129S"
"95",95,4,333709.191138533,6285942.78059977,229.090909090909,333654.084398736,6285895.03033792,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4881205899001","-33 33.2187936533339","115.12.293E","33.33.131S"
"96",96,4,333709.191138533,6285942.78059977,229.090909090909,333646.212007337,6285888.20887194,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4829585098807","-33 33.2224098124859","115.12.290E","33.33.133S"
"97",97,4,333709.191138533,6285942.78059977,229.090909090909,333638.339615937,6285881.38740596,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4777964227804","-33 33.226025967786","115.12.287E","33.33.136S"
"98",98,4,333709.191138533,6285942.78059977,229.090909090909,333630.467224538,6285874.56593999,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4726343285399","-33 33.229642119222","115.12.284E","33.33.138S"
"99",99,4,333709.191138533,6285942.78059977,229.090909090909,333622.594833138,6285867.74447401,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4674722272195","-33 33.233258266794","115.12.280E","33.33.140S"
"100",100,4,333709.191138533,6285942.78059977,229.090909090909,333614.722441739,6285860.92300803,0.00887210575967737,0.00887210575967737,"HPZ4","115 12.4623101187006","-33 33.2368744105079","115.12.277E","33.33.142S"
"101",101,5,333709.191138533,6287327.78059977,98.1818181818182,333585.463458298,6287345.56995456,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4599940349998","-33 32.4335412940318","115.12.276E","33.32.260S"
"102",102,5,333709.191138533,6287327.78059977,98.1818181818182,333595.774098317,6287344.08750832,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4666375531805","-33 32.434439589066","115.12.280E","33.32.261S"
"103",103,5,333709.191138533,6287327.78059977,98.1818181818182,333606.084738337,6287342.60506209,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.473281074","-33 32.4353378782381","115.12.284E","33.32.261S"
"104",104,5,333709.191138533,6287327.78059977,98.1818181818182,333616.395378357,6287341.12261586,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4799245973399","-33 32.4362361615298","115.12.288E","33.32.262S"
"105",105,5,333709.191138533,6287327.78059977,98.1818181818182,333626.706018376,6287339.64016963,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4865681232603","-33 32.4371344389602","115.12.292E","33.32.262S"
"106",106,5,333709.191138533,6287327.78059977,98.1818181818182,333637.016658396,6287338.1577234,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4932116516992","-33 32.4380327105161","115.12.296E","33.32.263S"
"107",107,5,333709.191138533,6287327.78059977,98.1818181818182,333647.327298415,6287336.67527716,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.4998551827196","-33 32.438930976198","115.12.300E","33.32.263S"
"108",108,5,333709.191138533,6287327.78059977,98.1818181818182,333657.637938435,6287335.19283093,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5064987163797","-33 32.4398292360122","115.12.304E","33.32.264S"
"109",109,5,333709.191138533,6287327.78059977,98.1818181818182,333667.948578455,6287333.7103847,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5131422525","-33 32.4407274899517","115.12.308E","33.32.264S"
"110",110,5,333709.191138533,6287327.78059977,98.1818181818182,333678.259218474,6287332.22793847,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5197857912601","-33 32.4416257380239","115.12.312E","33.32.265S"
"111",111,5,333709.191138533,6287327.78059977,98.1818181818182,333688.569858494,6287330.74549224,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5264293325396","-33 32.4425239802278","115.12.316E","33.32.266S"
"112",112,5,333709.191138533,6287327.78059977,98.1818181818182,333698.880498513,6287329.263046,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5330728764005","-33 32.4434222165582","115.12.320E","33.32.266S"
"113",113,5,333709.191138533,6287327.78059977,98.1818181818182,333709.191138533,6287327.78059977,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5397164228401","-33 32.4443204470202","115.12.324E","33.32.267S"
"114",114,5,333709.191138533,6287327.78059977,98.1818181818182,333719.501778553,6287326.29815354,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5463599718603","-33 32.445218671608","115.12.328E","33.32.267S"
"115",115,5,333709.191138533,6287327.78059977,98.1818181818182,333729.812418572,6287324.81570731,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5530035233998","-33 32.4461168903278","115.12.332E","33.32.268S"
"116",116,5,333709.191138533,6287327.78059977,98.1818181818182,333740.123058592,6287323.33326108,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5596470775199","-33 32.4470151031739","115.12.336E","33.32.268S"
"117",117,5,333709.191138533,6287327.78059977,98.1818181818182,333750.433698611,6287321.85081484,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5662906342205","-33 32.4479133101517","115.12.340E","33.32.269S"
"118",118,5,333709.191138533,6287327.78059977,98.1818181818182,333760.744338631,6287320.36836861,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5729341934998","-33 32.4488115112562","115.12.344E","33.32.269S"
"119",119,5,333709.191138533,6287327.78059977,98.1818181818182,333771.054978651,6287318.88592238,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5795777553004","-33 32.449709706492","115.12.348E","33.32.270S"
"120",120,5,333709.191138533,6287327.78059977,98.1818181818182,333781.36561867,6287317.40347615,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5862213196805","-33 32.450607895854","115.12.352E","33.32.270S"
"121",121,5,333709.191138533,6287327.78059977,98.1818181818182,333791.67625869,6287315.92102992,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5928648866393","-33 32.4515060793482","115.12.356E","33.32.271S"
"122",122,5,333709.191138533,6287327.78059977,98.1818181818182,333801.986898709,6287314.43858368,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.5995084561805","-33 32.4524042569678","115.12.360E","33.32.271S"
"123",123,5,333709.191138533,6287327.78059977,98.1818181818182,333812.297538729,6287312.95613745,0.00768346907585699,0.00768346907585699,"HPZ5","115 12.6061520282402","-33 32.4533024287201","115.12.364E","33.32.272S"
